Job Title,Company Name,Location,Experience Required,Salary,Skills Required,Job Description,Posted Date,Scrape Date,Job Link,Source Platform,Standardized_Job_Title,days_sinced_posted,salary_min,salary_max,salary_avg,Experience_Years
Junior Data Scientist,TrainingMug,Remote,No experience required,"₹ 12,00,000 - 14,00,000","['Python', 'SQL', 'Data Analytics', 'Machine Learning', 'Data Science', 'Deep Learning', 'Data Analysis']","As a Junior Data Scientist at TrainingMug, you will have the opportunity to work with a dynamic team to analyze data, develop machine learning models, and drive actionable insights for our business. If you are passionate about data analytics, data science, machine learning, deep learning, Python, and SQL, this is the perfect role for you. 

Key responsibilities:
1. Collaborate with cross-functional teams to identify business challenges and develop data-driven solutions.
2. Clean, analyze, and visualize large datasets to uncover trends and patterns using Python and SQL.
3. Build and optimize machine learning models to predict outcomes and drive decision-making.
4. Implement deep learning algorithms to solve complex problems and improve business processes.
5. Communicate findings and insights to stakeholders through reports, presentations, and dashboards.
6. Stay up-to-date on the latest trends and technologies in data science and machine learning.
7. Contribute to the continuous improvement of our data infrastructure and processes to ensure data quality and reliability. 

If you are eager to make a real impact through data-driven decision-making, join us at TrainingMug and take your career to the next level! Apply now and be part of a fast-paced and innovative team.",2 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-junior-data-scientist-job-at-trainingmug1776059898,Internshala,Data Scientist,14.0,1200000.0,1400000.0,1300000.0,0.0
Data Analytics,Superwork,Remote,No experience required,"₹ 7,25,000 - 8,00,000","['Python', 'SQL', 'Data Analytics', 'MS-Excel', 'Data Interpretation', 'Power BI', 'Tableau']","As a Data Analytics expert, you will be at the forefront of analyzing and interpreting data to drive business decisions and strategies. Your role will involve manipulating and extracting data using advanced tools such as Python, SQL, Tableau, Power BI, and MS-Excel. 

Key Responsibilities:

1. Utilize data analysis techniques to identify trends and patterns within large datasets.
2. Develop and implement data models to improve data quality and accuracy.
3. Interpret data to provide actionable insights for decision-making.
4. Extract relevant information from various sources to support business objectives.
5. Create and maintain reports and dashboards using Tableau and Power BI.
6. Collaborate with cross-functional teams to optimize data processes and workflows.
7. Stay updated on industry trends and best practices in data analytics to continuously improve processes. 

If you are a highly skilled and motivated data analyst who thrives in a fast-paced environment, this position is the perfect opportunity for you to showcase your expertise and drive meaningful impact through data-driven decisions.",1 week ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-data-analytics-job-at-superwork1776497803,Internshala,Analytics,7.0,725000.0,800000.0,762500.0,0.0
Junior Machine Learning Associate,Gharpayy,Bangalore,1 year(s),"₹ 7,00,000 - 9,00,000","['Python', 'Machine Learning', 'R Programming', 'Data Science', 'Prompt Engineering']","As a Junior Machine Learning Associate at Gharpayy, you will have the exciting opportunity to work with a dynamic team of professionals who are passionate about revolutionizing the way online payments are processed. If you are a talented individual with a strong background in Python, Machine Learning, R Programming, Prompt Engineering, and Data Science, then this is the perfect role for you. 

Key Responsibilities:
1. Develop and implement machine learning models to enhance predictive analytics for fraud detection and risk mitigation.
2. Collaborate with cross-functional teams to optimize data collection processes and improve data quality.
3. Conduct thorough data analysis to identify trends and patterns that can be used to improve overall business efficiency.
4. Assist in the design and execution of experiments to validate and refine machine learning algorithms.
5. Stay up-to-date on the latest advancements in machine learning technologies and methodologies.
6. Support senior team members in developing innovative solutions to complex business problems.
7. Communicate findings and recommendations effectively to stakeholders at all levels of the organization. 

If you are a motivated self-starter with a passion for machine learning and a desire to make a real impact in the fintech industry, then we want to hear from you. Join us at Gharpayy and be a part of our mission to revolutionize online payments through cutting-edge machine learning technologies.",4 days ago,2026-04-28,https://internshala.com/job/detail/junior-machine-learning-associate-job-in-bangalore-at-gharpayy1776966196,Internshala,Machine Learning Engineer,4.0,700000.0,900000.0,800000.0,1.0
Data Analyst,Proof-of-Skill,Ahmedabad,1 year(s),"₹ 6,00,000 - 10,00,000",[],"Company Overview
Proof-of-Skill is transforming the job market by emphasizing skill-based evaluations. By offering verifiable proof of candidates' skills through expert-reviewed assignments, it aims to make hiring efficient and inclusive. The company operates with a small team, headquartered in Mumbai, in the Technology, Information, and Internet industry. Learn more at proofofskill.org.Job Overview
We are seeking a Data Analyst for a full-time role at Proof-of-Skill. This is a remote role. You will be responsible for analyzing data, generating insights, and supporting decision-making across product, operations, and business teams.Qualifications and Skills
Strong proficiency in SQL for data querying and analysis
Experience with Excel/Google Sheets for data manipulation
Familiarity with data visualization tools (Tableau, Power BI, or similar)
Basic understanding of statistics and data analysis concepts
Ability to interpret data and communicate insights clearly
Knowledge of Python or R for data analysis is a plus
Attention to detail and strong analytical thinking
Understanding of business metrics and KPIs
Self-driven with high ownership in a remote setup
Willingness to learn, adapt, and improve based on feedbackRoles and Responsibilities
Analyze data to identify trends, patterns, and actionable insights
Create dashboards and reports for internal stakeholders
Work closely with product, business, and operations teams
Track and monitor key performance metrics
Clean, process, and validate data for accuracy and consistency
Support decision-making with data-driven recommendations
Automate reporting processes where possible
Identify opportunities to improve data collection and analysis
Present findings in a clear and structured manner",4 days ago,2026-04-28,https://internshala.com/job/detail/data-analyst-job-in-multiple-locations-at-proof-of-skill1776990626,Internshala,Data Analyst,4.0,600000.0,1000000.0,800000.0,1.0
Big Data Trainee,Omadus Infotech,Remote,No experience required,"₹ 6,00,000 - 8,00,000","['Copywriting', 'Data entry']","Are you a tech-savvy individual with a passion for all things data-related? Do you have experience in data entry and copywriting? If so, we have the perfect opportunity for you! 

In copywriting you just need to copy paste the data
And in this data entry yoy need to Fill data.. 
As a Big Data Trainee at our company, you will have the opportunity to learn and grow in a fast-paced and innovative environment. Your role will be crucial in helping us analyze and interpret large sets of data to drive business decisions and strategies. 

Key Responsibilities:
1. Assist in data entry tasks to ensure accurate and up-to-date information 
2. Collaborate with the team to develop and implement data-driven solutions 
3. Conduct research and analysis to identify trends and patterns in data 
4. Create engaging and informative copy for various marketing materials 
5. Support in the development and maintenance of databases 
6. Assist in developing data visualization tools for reporting purposes 
7. Stay up-to-date on industry trends and best practices in big data and copywriting 

If you are a detail-oriented individual with a strong work ethic and a desire to learn, we want to hear from you! Join us  and take your career to the next level in the exciting world of big data and copywriting. Apply now!",1 week ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-part-time-big-data-trainee-job-at-omadus-infotech1776291002,Internshala,Other,7.0,600000.0,800000.0,700000.0,0.0
Big Data Trainee,Omadus Infotech,Remote,No experience required,"₹ 6,00,000 - 8,00,000","['Copywriting', 'Data entry']","Are you a tech-savvy individual with a passion for all things data-related? Do you have experience in data entry and copywriting? If so, we have the perfect opportunity for you! 

In copywriting you just need to copy paste the data
And in this data entry yoy need to Fill data.. 
As a Big Data Trainee at our company, you will have the opportunity to learn and grow in a fast-paced and innovative environment. Your role will be crucial in helping us analyze and interpret large sets of data to drive business decisions and strategies. 

Key Responsibilities:
1. Assist in data entry tasks to ensure accurate and up-to-date information 
2. Collaborate with the team to develop and implement data-driven solutions 
3. Conduct research and analysis to identify trends and patterns in data 
4. Create engaging and informative copy for various marketing materials 
5. Support in the development and maintenance of databases 
6. Assist in developing data visualization tools for reporting purposes 
7. Stay up-to-date on industry trends and best practices in big data and copywriting 

If you are a detail-oriented individual with a strong work ethic and a desire to learn, we want to hear from you! Join us  and take your career to the next level in the exciting world of big data and copywriting. Apply now!",3 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-part-time-big-data-trainee-job-at-omadus-infotech1775476924,Internshala,Other,21.0,600000.0,800000.0,700000.0,0.0
Data Analytics Associate,After Passout Private Limited,Remote,No experience required,"₹ 5,50,000 - 6,50,000","['Python', 'SQL', 'Data Analytics', 'MS-Excel', 'Data Science', 'Data Interpretation', 'Power BI']","As a Data Analytics Associate, you will have the opportunity to utilize your expertise in Python, Power BI, SQL, Data Analytics, MS-Excel, Data Science, Tableau, Data Cleaning, Data Analysis, Data Engineering, Data Interpretation, Data Manipulation, and Data Preparation. Your role will be crucial in driving data-driven decisions and enhancing business performance.

1. Utilize Python, SQL, and other data analysis tools to clean, manipulate, and interpret data.
2. Develop and maintain data visualization dashboards using Power BI and Tableau.
3. Conduct thorough data analysis to identify trends, patterns, and insights.
4. Collaborate with cross-functional teams to understand data requirements and provide actionable recommendations.
5. Implement data engineering techniques to optimize data storage and processing.
6. Prepare and present reports on key findings and recommendations to senior management.
7. Stay updated on industry trends and best practices in data analytics to continually improve processes and strategies.",3 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-remote-data-analytics-associate-job-at-after-passout-private-limited1774872688,Internshala,Analytics,21.0,550000.0,650000.0,600000.0,0.0
Data Analytics Specialist,Harshad Enterprises,Bangalore,No experience required,"₹ 5,50,000 - 6,00,000","['Python', 'SQL', 'Data Analytics', 'MS-Excel', 'Data Science', 'Power BI', 'Tableau']","As a Data Analytics Specialist at Harshad Enterprises, you will be responsible for transforming data into actionable insights to drive business decisions and strategies. Your expertise in Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI, and Tableau will be crucial in analyzing complex data sets and generating reports that will help our company stay ahead of the curve. 

Key Responsibilities:
1. Develop and implement data analytics strategies to optimize business performance and identify opportunities for growth.
2. Create and maintain databases to organize and store large volumes of data for easy access and analysis.
3. Build data models and algorithms to extract valuable insights from various data sources.
4. Collaborate with cross-functional teams to understand business requirements and deliver data-driven solutions.
5. Design and automate data visualization dashboards using Power BI and Tableau for easy interpretation of data.
6. Conduct thorough data quality checks to ensure accuracy and consistency of data sets.
7. Stay updated on emerging trends and technologies in the field of data analytics to continuously improve data processes and methodologies.

If you are passionate about leveraging data analytics to drive business success and have a keen eye for detail, we invite you to join our dynamic team at Harshad Enterprises.",3 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-data-analytics-specialist-job-in-bangalore-at-harshad-enterprises1775482065,Internshala,Analytics,21.0,550000.0,600000.0,575000.0,0.0
Data Analytics Specialist,BITWAVE TECHNOLOGIES,Bangalore,No experience required,"₹ 5,00,000 - 6,50,000","['Python', 'SQL', 'Data Analytics', 'MS-Excel', 'Data Science', 'Power BI', 'Tableau']","Are you a talented Data Analytics Specialist with expertise in Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI, and Tableau? Join BITWAVE TECHNOLOGIES and be a part of our dynamic team! 

Key Responsibilities:
1. Utilize Python and SQL to extract and analyze complex data sets.
2. Develop and implement data models and algorithms to optimize processes.
3. Create interactive dashboards and reports using Power BI and Tableau.
4. Collaborate with cross-functional teams to identify business opportunities and trends.
5. Conduct in-depth data analysis to drive strategic decision-making.
6. Present findings and insights to stakeholders in a clear and concise manner.
7. Stay current on industry trends and best practices to continuously improve data analytics processes. 

If you are passionate about data analytics and have a strong technical skill set, apply now to be a part of our innovative team at BITWAVE TECHNOLOGIES!",3 weeks ago,2026-04-28,https://internshala.com/job/detail/fresher-data-analytics-specialist-job-in-bangalore-at-bitwave-technologies1774934446,Internshala,Analytics,21.0,500000.0,650000.0,575000.0,0.0
Junior Data Analytics Associate,BITWAVE TECHNOLOGIES,Bangalore,No experience required,"₹ 5,00,000 - 6,00,000","['Python', 'SQL', 'Data Analytics', 'MS-Excel', 'Data Science', 'Power BI', 'Tableau']","As a Junior Data Analytics Associate at Bitwave Technologies, you will have the opportunity to work on cutting-edge projects that leverage your skills in Python, SQL, Data Analytics, MS-Excel, Data Science, Power BI, and Tableau. You will be responsible for analyzing complex datasets, developing data visualizations, and providing actionable insights to drive business decisions. This is a fast-paced and dynamic role that will allow you to grow your technical skills and make a real impact on our business.

Key Responsibilities:

1. Collaborate with cross-functional teams to identify key business questions and develop data-driven solutions.
2. Clean, transform, and organize large datasets for analysis using Python and SQL.
3. Create interactive dashboards and visualizations in Tableau and Power BI to communicate insights effectively.
4. Conduct statistical analysis and predictive modeling to identify trends and patterns in data.
5. Generate reports and presentations to communicate findings to stakeholders at all levels of the organization.
6. Stay current on industry trends and best practices in data analytics and data science.
7. Assist in ad-hoc data analysis projects as needed to support business objectives.

If you are a proactive and detail-oriented individual with a passion for data analytics, this is the perfect opportunity for you to take your career to the next level at Bitwave Technologies. Apply now and join our team of talented professionals!",1 day ago,2026-04-28,https://internshala.com/job/detail/fresher-junior-data-analytics-associate-job-in-bangalore-at-bitwave-technologies1777264571,Internshala,Analytics,1.0,500000.0,600000.0,550000.0,0.0
